Code Domaine,Domaine,Code zone (FAO),Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","57","B?larus","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","836","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","57","B?larus","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","49.78","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3800","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","100.34","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","1257","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","60.58","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","23","Belize","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2744","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","23","Belize","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","73.54","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","23","Belize","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","616","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","23","Belize","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","32.99","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","53","B?nin","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2775","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","53","B?nin","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","62.92","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","53","B?nin","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","128","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","53","B?nin","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","12.91","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","19","Bolivie (?tat plurinational de)","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2464","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","19","Bolivie (?tat plurinational de)","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","74.37","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","19","Bolivie (?tat plurinational de)","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","546","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","19","Bolivie (?tat plurinational de)","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","35.61","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","80","Bosnie-Herz?govine","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3320","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","80","Bosnie-Herz?govine","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","98.21","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","80","Bosnie-Herz?govine","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","596","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","80","Bosnie-Herz?govine","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","35.47","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","20","Botswana","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2570","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","20","Botswana","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","72.18","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","20","Botswana","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","356","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","20","Botswana","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","27.09","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","21","Br?sil","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3246","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","21","Br?sil","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","93.81","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","21","Br?sil","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","875","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","21","Br?sil","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","54.86","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","27","Bulgarie","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2854","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","27","Bulgarie","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","82.24","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","27","Bulgarie","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","690","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","27","Bulgarie","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","41.42","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","233","Burkina Faso","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2733","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","233","Burkina Faso","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","80.16","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","233","Burkina Faso","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","151","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","233","Burkina Faso","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","10.87","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","29","Burundi","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","1754","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","29","Burundi","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","42.69","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","29","Burundi","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","37","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","29","Burundi","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","2.53","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","35","Cabo Verde","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2583","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","35","Cabo Verde","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","71.9","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","35","Cabo Verde","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","426","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","35","Cabo Verde","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","25.98","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","115","Cambodge","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2700","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","115","Cambodge","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","65.53","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","115","Cambodge","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","210","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","115","Cambodge","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","18.72","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","32","Cameroun","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2770","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","32","Cameroun","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","72.03","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","32","Cameroun","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","114","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","32","Cameroun","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","11.01","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","33","Canada","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3539","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","33","Canada","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","108.55","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","33","Canada","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","960","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","33","Canada","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","61.12","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","40","Chili","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3078","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","40","Chili","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","93.87","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","40","Chili","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","792","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","40","Chili","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","49.55","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","351","Chine","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3340","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","351","Chine","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","105.11","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","351","Chine","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","754","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","351","Chine","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","41.62","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","96","Chine - RAS de Hong-Kong","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3236","Fc","Donn?e calcul?e"
