Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","14","Barbade","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","49.68","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","57","Bélarus","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3295","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","57","Bélarus","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","91.65","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","57","Bélarus","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","130.05","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","57","Bélarus","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","836","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","57","Bélarus","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","49.78","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","57","Bélarus","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","62.06","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3800","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","100.34","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","173.38","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","1257","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","60.58","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","103.15","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","23","Belize","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2744","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","23","Belize","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","73.54","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","23","Belize","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","90.91","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","23","Belize","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","616","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","23","Belize","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","32.99","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","23","Belize","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","46.8","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","53","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2775","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","53","Bénin","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","62.92","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","53","Bénin","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","49.49","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","53","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","128","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","53","Bénin","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","12.91","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","53","Bénin","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","6.85","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","19","Bolivie (État plurinational de)","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2464","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","19","Bolivie (État plurinational de)","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","74.37","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","19","Bolivie (État plurinational de)","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","64.31","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","19","Bolivie (État plurinational de)","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","546","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","19","Bolivie (État plurinational de)","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","35.61","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","19","Bolivie (État plurinational de)","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","41.2","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","80","Bosnie-Herzégovine","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3320","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","80","Bosnie-Herzégovine","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","98.21","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","80","Bosnie-Herzégovine","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","86.26","Fc","Donnée calculée"
