pays,Évolution population (%),dispo_calories,dispo_proteines,ratio_proteines_animales(%),PIB_par_habitant,taux_suffisance(٪),taux_dépendance_importations(٪),groupe_cah
Mali,25.82,1054120.0,29353.3,22.31,886.794271,114.58333333333333,2.083333333333333,2
Mauritanie,25.02,1049375.0,30265.8,37.69,1677.917728,16.666666666666664,103.33333333333334,5
Maurice,2.02,1107045.0,31806.1,47.83,11168.6188,92.72727272727272,7.2727272727272725,3
Mexique,11.85,1154495.0,33452.25,48.98,9848.604353,77.37178076161128,22.73827867048206,3
Mongolie,17.1,1051200.0,37865.1,71.1,4295.235029,0.0,140.0,5
Maroc,12.46,1228225.0,36189.75,28.15,3282.007597,114.64713715046604,0.9320905459387484,3
Mozambique,24.6,777450.0,17264.5,15.39,503.745209,93.33333333333333,20.0,2
République de Moldova,-1.34,980755.0,25491.600000000002,39.48,2956.883244,64.17910447761194,34.32835820895522,2
Namibie,16.58,903010.0,23936.7,35.0,4957.358577,37.93103448275862,106.89655172413792,1
Népal,6.03,1052295.0,27338.500000000004,18.09,1073.621801,100.0,0.0,2
Macédoine du Nord,0.69,1129675.0,30758.55,43.68,6093.14769,2.380952380952381,97.61904761904762,3
Nouvelle-Zélande,9.61,1178220.0,35204.25,57.68,43229.343479,107.62331838565022,0.4484304932735426,4
Nicaragua,12.22,956300.0,24042.550000000003,28.84,1912.899162,106.87022900763358,5.343511450381679,2
Niger,32.03,957395.0,30959.3,12.27,554.579943,73.07692307692307,11.538461538461538,2
Nigéria,23.21,936225.0,21217.45,12.06,2361.206967,95.23809523809523,4.761904761904762,2
Norvège,10.26,1258885.0,42442.2,55.39,74985.515257,98.1651376146789,2.7522935779816518,4
Pakistan,18.95,906295.0,24104.600000000002,43.64,1186.69208,143.13909774436092,0.0,2
Panama,15.71,1086605.0,32072.550000000003,55.15,15727.970387,91.05691056910568,8.94308943089431,3
Tchéquie,1.88,1199390.0,31671.05,60.03,23451.735721,65.63706563706563,44.78764478764479,3
Papouasie-Nouvelle-Guinée,18.59,819060.0,23473.15,55.84,2845.190636,20.588235294117645,88.23529411764706,1
Paraguay,12.5,1011050.0,25568.25,38.12,5406.483416,106.94444444444444,1.3888888888888888,2
Pérou,11.44,1016890.0,32320.75,48.49,6977.76782,103.09941520467835,4.152046783625731,3
Philippines,14.52,1025285.0,23819.9,40.22,3323.767006,102.01809324982602,21.29436325678497,2
Pologne,-1.23,1280420.0,38310.399999999994,54.21,15727.030606,220.70750647109577,7.5927523727351165,3
Portugal,-3.7,1262170.0,42975.1,63.91,23350.353854,104.4776119402985,26.865671641791046,3
Guinée-Bissau,22.75,813950.0,15797.2,19.41,688.351615,60.0,60.0,1
Timor-Leste,16.92,814680.0,17585.7,21.73,1560.50984,9.090909090909092,100.0,1
Zimbabwe,14.47,623055.0,13946.65,27.38,1463.985913,96.29629629629629,1.8518518518518516,2
Roumanie,-6.58,1309620.0,39328.75,50.65,12914.107396,108.79828326180257,27.896995708154503,3
Rwanda,22.52,808110.0,21472.95,14.45,820.091211,90.47619047619048,0.0,2
Fédération de Russie,1.74,1227495.0,38262.95,53.3,11605.566389,99.95659722222221,5.034722222222222,3
Arabie saoudite,22.29,1205230.0,32685.75,39.87,23139.802114,55.82693649685974,45.35938590369854,3
Sénégal,24.31,949365.0,23502.35,22.77,1452.134664,99.1304347826087,0.0,2
Sierra Leone,19.72,851180.0,18370.45,22.07,527.533632,62.5,62.5,1
Slovénie,2.16,1149385.0,34799.1,54.52,26062.16682,140.0,46.0,3
Slovaquie,1.02,1063610.0,25940.55,53.58,19255.895672,73.95833333333334,108.33333333333333,3
Afrique du Sud,13.8,1057770.0,29116.05,44.04,6001.389576,83.07410795974383,22.323879231473008,3
Espagne,0.33,1222020.0,39617.100000000006,62.94,29815.717809,103.81922342457032,11.966900063653723,4
Suriname,10.02,1006670.0,24834.600000000002,47.82,6359.634834,36.666666666666664,63.33333333333333,1
Tadjikistan,20.99,906660.0,26148.6,32.44,894.012934,42.10526315789473,31.57894736842105,1
Eswatini,7.9,928560.0,21910.95,30.32,4001.578285,75.0,25.0,2
Suède,7.21,1162160.0,39456.5,64.15,52895.9567,66.10878661087865,35.146443514644346,4
Suisse,10.21,1233335.0,35463.4,63.1,85134.954826,66.44295302013423,30.201342281879196,4
République arabe syrienne,-24.23,1007400.0,27042.850000000002,29.14,1193.853039,89.05109489051095,16.78832116788321,3
Turkménistan,15.72,1050835.0,32839.05,40.67,8124.494047,70.0,43.333333333333336,3
République-Unie de Tanzanie,25.74,866510.0,21929.2,18.97,1085.115284,94.18604651162791,6.976744186046512,2
Thaïlande,3.96,1024920.0,22202.95,43.09,7784.73908,198.54586129753915,0.44742729306487694,3
Togo,22.66,899360.0,20732.0,17.06,899.490744,64.70588235294117,36.76470588235294,1
Trinité-et-Tobago,5.31,1080035.0,31043.25,51.73,16637.259813,69.66292134831461,28.08988764044944,3
Oman,42.19,1077115.0,30904.55,48.35,15343.062004,6.1946902654867255,101.76991150442478,5
Tunisie,10.0,1277135.0,36777.4,28.22,3317.515276,109.85221674876848,0.49261083743842365,3
Turquie,14.51,1362910.0,40540.549999999996,35.77,9126.562459,127.80034822983168,2.5536854323853744,3
Émirats arabes unis,18.97,1125660.0,29356.95,44.4,43103.323058,6.933744221879815,105.70107858243452,5
Ouganda,29.05,786940.0,15746.1,23.44,736.603087,101.47058823529412,0.0,2
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,6.96,1239175.0,38759.35,55.43,41854.503068,81.42123287671232,34.16095890410959,4
Ukraine,-4.49,1108140.0,32882.85,49.66,3495.531163,117.59799833194329,7.172643869891576,3
États-Unis d'Amérique,6.92,1409630.0,41978.65,66.02,65133.731652,118.4659238144597,0.6374708473697849,4
Burkina Faso,25.49,997545.0,29258.399999999998,13.56,786.895614,100.0,0.0,2
Uruguay,3.24,1171285.0,31941.15,54.67,16190.138438,91.17647058823529,17.647058823529413,3
Ouzbékistan,14.91,1174935.0,36635.05,42.88,1756.163496,80.0,26.25,3
Viet Nam,9.71,1072735.0,32196.649999999998,38.95,2715.275874,86.70382165605095,16.162420382165603,3
Éthiopie,23.95,890235.0,25750.75,9.07,827.544333,98.71794871794873,1.282051282051282,2
Yémen,22.79,736935.0,19465.45,20.59,855.066811,54.54545454545454,39.77272727272727,1
République démocratique du Congo,28.05,698245.0,9457.15,12.39,545.216205,7.142857142857142,92.85714285714286,1
Zambie,26.01,827455.0,22224.85,22.71,1292.482076,78.46153846153847,35.38461538461539,1
Belgique,5.89,1387000.0,36624.1,60.37,46198.310321,239.57219251336898,171.12299465240642,3
Luxembourg,19.36,1278960.0,39766.75,61.08,115480.86757,0.0,100.0,5
Serbie,-2.86,1045725.0,31601.7,50.58,7359.348533,92.85714285714286,15.178571428571427,3
Monténégro,0.8,1284800.0,40876.35,60.25,8825.344514,40.0,70.0,3
